Date/Time: 2020-04-01 03:12:28.693880, Messages: 0, New members: 0
Date/Time: 2020-04-01 03:13:28.696673, Messages: 0, New members: 0
Date/Time: 2020-04-01 03:14:28.710207, Messages: 0, New members: 0
Date/Time: 2020-04-01 03:15:28.716210, Messages: 0, New members: 0
Date/Time: 2020-04-01 03:16:28.726115, Messages: 0, New members: 1
Date/Time: 2020-04-01 03:17:28.728281, Messages: 1, New members: 0
Date/Time: 2020-04-01 03:18:28.729149, Messages: 0, New members: 0
Date/Time: 2020-04-01 03:19:28.738028, Messages: 0, New members: 0
Date/Time: 2020-04-01 03:20:28.737824, Messages: 0, New members: 0
Date/Time: 2020-04-01 03:21:28.728946, Messages: 0, New members: 0
Date/Time: 2020-04-01 03:22:28.740689, Messages: 1, New members: 0
Date/Time: 2020-04-01 03:23:28.748190, Messages: 0, New members: 0
Date/Time: 2020-04-01 03:23:35.327261, Messages: 0, New members: 0
Date/Time: 2020-04-01 03:25:59.422255, Messages: 0, New members: 0
Date/Time: 2020-04-01 03:27:23.983434, Messages: 2, New members: 0
Date/Time: 2020-04-01 03:37:24.667582, Messages: 0, New members: 0
Date/Time: 2020-04-01 17:05:07.437544, Messages: 0, New members: 0
Date/Time: 2020-04-01 17:24:40.079929, Messages: 0, New members: 0
